group_id,variant_code
img-fcd9c332b8a6eabefaa1,vmm-d7d3ba49b99a0a4f29adac19ab5020a40c4a6da364a253426492316e1af6ba7d
img-fcd9c332b8a6eabefaa1,vmm-af02e5e8bfcb34bfb7f423fc4f2a025b8e1ad6a320a3e05702b642a63625e86e
img-cebb429e075f95522409,vmm-ca36640b3a383dbec42927175ef9fd295dbe3c0cea07f55f839b4ac4bc0a17da
img-afc95a87aba124712b40,vmm-8f9a5a116ff6691075bc3e77a3826ad9ce3ad935d28818541416ce505e92fddb
img-afc95a87aba124712b40,vmm-6ccc1f3fa33becdd6fe0cdb6041872ad144bfa14e982a9c094b5f62f2465ad34
img-0074fbbd24fb4bbe638c,vmm-3fc3f5d5af712b9aadb76a0289d75e99bff81b7d26bb383c5f77c70d64463450
img-d6214fc3d555b4436ad8,vmm-67d246379aace5ce67536f2621ce5846f10eb49fa394db3e68150ac8e16a077f
img-d6214fc3d555b4436ad8,vmm-449aa853d4e7b003a909ca3d98c0b92456d90646e448709f681e691007ddc295
img-47f95720a6f1793e118f,vmm-02e949fd567780ae2f5ccf4690e41d93163d7db240bb82450aee86fa28b99db5
img-47f95720a6f1793e118f,vmm-6623f4ef8683ea1384ae5efd848f5c00d975b3fc7c3dd742e7e43253139606e1
img-5d1d9de6b657ee81b13f,vmm-65ab6e265c92dfe428220e1a6deda9f95b86d7d654f5c0949bd88120caba63fe
img-5d1d9de6b657ee81b13f,vmm-680f0b85c558a6d0fceb91c0f5eb9bd998d1c727c17e34ae4fc5bf4645e18649
img-b43801cdcfe9b8046f63,vmm-7fb5193300bad86f62b232f057631fb7fe34be5e04a79d687fa7f32d551854a7
img-b43801cdcfe9b8046f63,vmm-ead62f46ce8458cde94d6811d8af94c99e040ba98120da4218771539c149ef9f
img-4bb1a404cb065894e613,vmm-d6638e9a6250dd93275355a04ec61cf050bd43b389bc6712652c1d009b5b63d3
img-c29879395d296e67c368,vmm-c65bc5ca4004c08413be2e096a30da01e36a79c2379de7c4d6d3fad264037a95
img-c29879395d296e67c368,vmm-74cee5be898a713cbd432b5db6cd482a40813aab6f22c31d44a58d20615035f7
img-8e098c1b800f8c13f582,vmm-b3347e77907c85a3c1afcba5bfeacfe987576cf2a63c0d16f320cac9b1bf7909
img-8e098c1b800f8c13f582,vmm-ee2d402fa89a5b08ae12326190a8c8da1fa15be1ee89e867891053e299769b08
img-aeed4baf0476c63518e2,vmm-308085c41b08689842cd2f19d0438b75a8c7d6c3d18b06cfdf8146756b661602
img-2de8f7324f2831b29143,vmm-df5abf393b7b31f40466ccde7c26abd98180d2b834b8c08b1ec94b5d4af0cc6c
img-2de8f7324f2831b29143,vmm-cf4df609e3d404adc4d70686e75de0191891436e4fbf66230086e244a675fc5d
img-2de8f7324f2831b29143,vmm-bad9200fbff4ffbba66d573d0693678a523e5b44b81cacee4554803fb3f9bcc3
img-04eb2e06d6cadc9f2280,vmm-1584a3a4124ad6e2fb009a55d800e284862bb4a3f949173f2933d7c53cf03390
img-04eb2e06d6cadc9f2280,vmm-f86fa3acd01ef13d07fb19a1c987277a837c2c9d947a607a21a3e8fdb3ac953a
img-66523a98d5c681a1c060,vmm-5c6ffa98cbc0a69b3c492102d0a0e2c66f86b164d7fff7e1fbe2402f5c15b293
img-6b5c13e75ae452c5fd1f,vmm-f53f13c23cd0b3d30f83a1c0d553ef728548187d9252b78046f501889d777d1d
img-e091cf399631ebefeee1,vmm-9e70f1df614b7f8b7fd08657163e2b1124a522bfe351c96d113a48512b6d29d5
img-e091cf399631ebefeee1,vmm-e5a20f2fecf6a63c792818daa637fe42bc81258fa220e7bee513b838901d71e6
img-e091cf399631ebefeee1,vmm-d4b3fa69b014a5c16a820fe5b903d0a12bc79ba093a081d2cb7a0c1d7f1db5d4
img-e091cf399631ebefeee1,vmm-edd1eca8e289bce74dfae8a50684ede88a4cc43414600470d9d121c26cf2c073
