source_row,variant_code,flags
316,vmm-813f3d2c86c33fa5ee762ed69e2034c9b15ed4fafb10e3fb96a3346bf6fd5596,LEGACY_QUOTE_REQUIRED
317,vmm-bc99def2046d48dad60232934e0579b37503791799fbea7b1f5c40e1d09cd8c4,LEGACY_QUOTE_REQUIRED
318,vmm-be7f03dfba6417f6f5a774bae017c69f2b2c92d9ad7a3afcdc41cb6ab99eb401,LEGACY_QUOTE_REQUIRED
319,vmm-514e98eb339ecef40f65042641409845994529a24be688ecf7f0cd9866b26a34,LEGACY_QUOTE_REQUIRED
320,vmm-4ea63bb9fdf48238104aba83e8a3a777c5879d7adfb9f6a4554178a877a98bc8,LEGACY_QUOTE_REQUIRED
321,vmm-9b9521bf395075243ff555381d3704b91fa64f8d4cfe066c6f7743d839c4e933,LEGACY_QUOTE_REQUIRED
322,vmm-79aecc79339be7c72a05af653e88e65e6ea760f48f048600522c3d8b872468cf,LEGACY_QUOTE_REQUIRED
323,vmm-e146528585e0b4f67aaf38647d9502d8b0f2519096c3a1299c67ce9ab635b620,LEGACY_QUOTE_REQUIRED
324,vmm-2ab18abe119aeef1d9dd8739f75056eba2a4541f14d6caad8154285b7ee1b99a,POWER_LABEL_CONFLICT;LEGACY_QUOTE_REQUIRED
325,vmm-c503161fbc512ef5e9a107166ca4ad839ad413bfb636bdd2ed95461d3aa36efc,LEGACY_QUOTE_REQUIRED
326,vmm-6b83c3d151b53b05a7544313303108172803afe853058c90ddd334ff7f59fa8f,LEGACY_QUOTE_REQUIRED
327,vmm-a54a5ff8817c2b82c252d8a0b7892967fc6a6b65978290663b8d743eee0ebf4a,LEGACY_QUOTE_REQUIRED
330,vmm-3a4c02b669c42373cc6e6b391c22051e54560705f45160dbcf9581c56e527f34,LEGACY_QUOTE_REQUIRED
331,vmm-e50b895f422699ebf480963b7c4a02518e03190284aed5a1ecc9770979f867e3,LEGACY_QUOTE_REQUIRED
332,vmm-6351b00ee7b3deca1d5b2e821f20314b28597ccd15aaa11771662d8fd644c345,LEGACY_QUOTE_REQUIRED
333,vmm-f08a0c890bb3600a7236c3cd7c9ed8c156e3b3f2fddba392029a2819e4210531,LEGACY_QUOTE_REQUIRED
334,vmm-f923781f66175c9bcb191d70f9c87553c75d9ef5ac86e27f040120ae9dace2d0,LEGACY_QUOTE_REQUIRED
335,vmm-d1bd00bbe0f7079c908c15c7bc0b99f3b396e0cf3e4e6619abe2c4faf9b2c6f5,LEGACY_QUOTE_REQUIRED
336,vmm-9a705f529ac4f2b75713967bc8b8c5d7fc492f381f9bd7879cff62c325e039aa,LEGACY_QUOTE_REQUIRED
337,vmm-1d30f6e0e698d7280384bfbd7bee01697a5303dcc6ca960d36dce90b8424db76,LEGACY_QUOTE_REQUIRED
338,vmm-988319aaf0fd458a4b3b76e54768d3ddd8cf2153f1acd2651db5ff0f98cc21ca,LEGACY_QUOTE_REQUIRED
339,vmm-558942707074abe4e6e86f2e6a9ddfee40079f18119ee9c232b128b3f31340e5,LEGACY_QUOTE_REQUIRED
340,vmm-054b8d681538649c786691cc021cb187466a3b8ab62d5af4a745dffabef9844a,LEGACY_QUOTE_REQUIRED
341,vmm-a0eaae5a704a710d55b04b3ee35a5d51a35f88fb05738951e8fadbbf4dc87aba,LEGACY_QUOTE_REQUIRED
342,vmm-f674ff4d9477b87338192436dbe1865a193eb5f42c7e355ca24f3b465d623f59,LEGACY_QUOTE_REQUIRED
343,vmm-4256b8d17ba2e647552841c7ec3f9372ccd6d0f990a8eada3970dae4d4c014ef,LEGACY_QUOTE_REQUIRED
344,vmm-c076a5fc5a4fa36f3e1e7dff5fa90e8f5438f3ac19e3750c211db37c1caf681d,LEGACY_QUOTE_REQUIRED
345,vmm-b7485025fba3c3f148bc003cb590ca51fc47117bcd892d8de6640f8ed0a482be,LEGACY_QUOTE_REQUIRED
346,vmm-be6f1b8eec4cb5db20e1b11f630799e0f0e38a38ba12212b63d5d444c278d6c3,LEGACY_QUOTE_REQUIRED
347,vmm-f0e74aa87974113f5670cfeb7c262073a847712283b068a06d0a0a3eab00dcac,LEGACY_QUOTE_REQUIRED
348,vmm-4cbc9bfa2ae1a1c9201e9b06e5fd8657bec54076d93ef69e107e9f4f6b64ee82,LEGACY_QUOTE_REQUIRED
349,vmm-139970dc7dc7df98ff160ce69576775c841feb84a1112d407883d580c6ee4636,LEGACY_QUOTE_REQUIRED
350,vmm-eaed927f23a8aa655ac06a64bf37520617a0d33885fd7e694ec9305e5063c31a,LEGACY_QUOTE_REQUIRED
351,vmm-5832ef6100df6959fa314face3aba442ffa45670c61ddb91f8f96cc417964db5,LEGACY_QUOTE_REQUIRED
352,vmm-6f584f8beb7f77ca896734f64d90f2ac305102eb9e62e41faaff84bb2dd03904,LEGACY_QUOTE_REQUIRED
353,vmm-9c9d17ccf4c3a12ae4c2f625584556b7e6d623215e4324a8acd453a81eeef6f1,LEGACY_QUOTE_REQUIRED
354,vmm-73dd38ec866f9fbb368edfe429cfcf96c7d555410703fab140e82604ed59a606,LEGACY_QUOTE_REQUIRED
355,vmm-d99f9c80612e09cedffe1faa50340d7883755b84ef0b67da72700ccd8f7cab35,LEGACY_QUOTE_REQUIRED
356,vmm-518314828b742d43db55d3c0e62baf7e79b5dca26fc6895a2c563c54c45a9402,LEGACY_QUOTE_REQUIRED;ROUNDED_FOR_INTEGER_STORAGE
357,vmm-036524b1c474b1ac6c4c65bc031969fe8ec97696a46222bc1de5ade7009f7a4f,LEGACY_QUOTE_REQUIRED
358,vmm-566a77538c0f081fdd9f7eadb7c6df0023a5adef715378d599d8a2e4c1b534fc,LEGACY_QUOTE_REQUIRED
359,vmm-1139fbf4e414eca8c7d1024e9d58bffdeacd5439436cb775ec82c3500d266ca1,LEGACY_QUOTE_REQUIRED
360,vmm-7f123740dc809727326ffe7b33a95275c0b290b69c899b5819487a7905a54164,LEGACY_QUOTE_REQUIRED
361,vmm-6e8349a4243cd5c34c34d4d6e1209de876af2b837d7784653c2d00c57e135998,LEGACY_QUOTE_REQUIRED
362,vmm-2914d20f8d6fb0817ffe86e76afd55388d97da4b4869a7ba088d609ec0558ea0,LEGACY_QUOTE_REQUIRED
