source_row,variant_code,field,original_value,stored_value,reason
5895,vmm-d92639ab52b3cea380d2a7ea3c4b4acc106df81aef655c9f3b92687f672fc25b,power_hp,1078.8,1079,ROUNDED_FOR_INTEGER_STORAGE
5940,vmm-4da747541ec558d52990102d256a73784e248fc432aad8d0b995dd9c9c69fb45,power_hp,177.4,177,ROUNDED_FOR_INTEGER_STORAGE
5996,vmm-8010c4f72961ba7650684ecefd667a6268dbc32ecb4bfa7ba8ec4ffa5a85a86d,power_hp,174.4,174,ROUNDED_FOR_INTEGER_STORAGE
6093,vmm-a9fa1f64d6265d9c859c25e8481aeb224aa304fcc34486da4f3462acdaef7363,power_hp,280.8,281,ROUNDED_FOR_INTEGER_STORAGE
6144,vmm-328fe7c82569cb584396f908f69141c65be5ebb4ac5fbbe48c776c34c25bd411,power_hp,326.5,327,ROUNDED_FOR_INTEGER_STORAGE
6159,vmm-ca8549f37d3f89389e2b497c4b1d5b48fa78175e5f6650a361ef8bbcbb735e5b,power_hp,370.1,370,ROUNDED_FOR_INTEGER_STORAGE
6161,vmm-dc888f06e3f4df7b75e0047243ea700e0f673ace22b457008275115f61051f87,power_hp,370.1,370,ROUNDED_FOR_INTEGER_STORAGE
6163,vmm-09d417a03b70f1e469ccbec3bc37a1e1c6b9c64b0c93a8c1a99cdb4bda53fb1f,power_hp,370.1,370,ROUNDED_FOR_INTEGER_STORAGE
6165,vmm-cc3af68dc0daf5e7f68b1e61b411c9a67292643ad25f231791a8158a3ff50bec,power_hp,370.1,370,ROUNDED_FOR_INTEGER_STORAGE
6166,vmm-d88cbf14895f8b594e1c497b54a6a61ce7cf48fa2d8563b39b930683458fd0ee,power_hp,364.4,364,ROUNDED_FOR_INTEGER_STORAGE
6167,vmm-a6ce682a39ddaaa59fb191333026e3aab45c7636e77f5b3c375f76648eec4c80,power_hp,370.1,370,ROUNDED_FOR_INTEGER_STORAGE
6196,vmm-bba454c9dc38e60c21b30c5d199b52c97bbeb39ffc874cdb8b430bdfcc9fa8ff,power_hp,359.9,360,ROUNDED_FOR_INTEGER_STORAGE
6198,vmm-df48360ad9f2efd6512d36cb55ce38eef6dbfac0e69f3398b230cba88e69c412,power_hp,309.2,309,ROUNDED_FOR_INTEGER_STORAGE
6219,vmm-b73e8e0faa95450b5fe9e3c47d71db122b37fcf3861be55177add824fc849edf,power_hp,359.9,360,ROUNDED_FOR_INTEGER_STORAGE
6221,vmm-1609b6a66a84c60f11dff870812ec859075c9103287fd59f03caf7b6fb5c5c3d,power_hp,309.2,309,ROUNDED_FOR_INTEGER_STORAGE
6262,vmm-a715cde2d9c0094bbb200285742e96f53b8a9fa6c086ee37d1eaacdefb346872,power_hp,138.9,139,ROUNDED_FOR_INTEGER_STORAGE
6264,vmm-b16d41d115b4201061a409d24ccf27ab5e74d2038b19b4688af2e49c565f8925,power_hp,157.1,157,ROUNDED_FOR_INTEGER_STORAGE
6285,vmm-1e926928460ac1e0a9ee788e0da03b10020fac839c939fead248ff7156c69096,power_hp,332.5,333,ROUNDED_FOR_INTEGER_STORAGE
6333,vmm-41f3b1273b3510bd1d79a60b0a3e2cd83667eeae10891004d8880f920861e203,power_hp,430.9,431,ROUNDED_FOR_INTEGER_STORAGE
6343,vmm-85032c61f80f5ab183845b5e26208654eaf820a3fdee27cdf20018158068fdd5,power_hp,395.4,395,ROUNDED_FOR_INTEGER_STORAGE
6377,vmm-df522a880ba9aca18858c956f8cd53e0fc7bef4ae3399093f748587b6c222cb4,power_hp,101.4,101,ROUNDED_FOR_INTEGER_STORAGE
6386,vmm-f52c27ba684a9dede8aa9703b46d7342d4a1ccb92a8830ae7749bd6afe86087f,power_hp,101.4,101,ROUNDED_FOR_INTEGER_STORAGE
6951,vmm-ea07a2420e5ee9fa8564b1f482b3e51512b59df9e5230e53f3f86fb6aadce139,power_hp,137.9,138,ROUNDED_FOR_INTEGER_STORAGE
6952,vmm-6d7c862c1af051e7fab061d665c00c743519f6541539cc900091d409e2c8a482,power_hp,152.1,152,ROUNDED_FOR_INTEGER_STORAGE
7806,vmm-6575540b1f4ff3dcc27fb6d7caf898b328f3dd6477577662f811ea05249bec8f,power_hp,278.8,279,ROUNDED_FOR_INTEGER_STORAGE
7843,vmm-2732f32840f2125d319b823b9f11dd7521e652153e7fc3e4e81f66f21fc3f83c,power_hp,62.9,63,ROUNDED_FOR_INTEGER_STORAGE
7844,vmm-6e24f77d5eeee6126d7061d6dfdc53a3787f2fc869398d5febf2a1998a15cf51,power_hp,62.9,63,ROUNDED_FOR_INTEGER_STORAGE
7845,vmm-44585d782ceb948dd1137ad231c6c313360c2f2addfac7f0b5b8bf58ee453f7b,power_hp,63.9,64,ROUNDED_FOR_INTEGER_STORAGE
7846,vmm-3e5e94f15270387118cbec03c1d6021306972b969d5e3bd86936ae7d6822ff51,power_hp,95.3,95,ROUNDED_FOR_INTEGER_STORAGE
7847,vmm-0d7885cbfe77d469d9ba57d017c90db4dc75157026122adf79bb0a20f2986861,power_hp,95.3,95,ROUNDED_FOR_INTEGER_STORAGE
7848,vmm-33db4edbb8402b2b169f3fbbe294951fd7feea753360d674f0d7ba4d12206def,power_hp,108.5,109,ROUNDED_FOR_INTEGER_STORAGE
7849,vmm-11840ac997a6fbc7d8abbfae186c78733fa8f4c806eae65ea99548e932f6106e,power_hp,95.3,95,ROUNDED_FOR_INTEGER_STORAGE
7851,vmm-f6bfa26d4a18139a87f33eedb7d9d5cf1a6daaf861098c2212a5f2685f335c43,power_hp,101.4,101,ROUNDED_FOR_INTEGER_STORAGE
7852,vmm-fd63cf37f736915fa228bc6c3a5ae584e5ac14eb4f9c2415c25a9db18a9cb7cd,power_hp,101.4,101,ROUNDED_FOR_INTEGER_STORAGE
7853,vmm-a05abff36e0dedc9406a5b8831e4955bbda1a04c8b711aaf5b7085a339ca12a5,power_hp,141.9,142,ROUNDED_FOR_INTEGER_STORAGE
7854,vmm-f37986e07d394292565295d01f877d801d4a9583142e70211285ca19ff355aa7,power_hp,152.1,152,ROUNDED_FOR_INTEGER_STORAGE
7855,vmm-f2958a785ee9f35ed68a3628ea9a105c45647b856d61044459a380f6d9f645c8,power_hp,152.1,152,ROUNDED_FOR_INTEGER_STORAGE
7856,vmm-48023e0eac22f3790d27f930c057a147f637412850f4d7c021ba34995bfc724d,power_hp,177.4,177,ROUNDED_FOR_INTEGER_STORAGE
7857,vmm-7f2a7e4117783bb10a74040ebec437a250f027e2028f424537039cf114b8fa73,power_hp,192.6,193,ROUNDED_FOR_INTEGER_STORAGE
7858,vmm-6f1bcd9a69790cfd123cb1c3fc1cc591e36eb38cae70605f8517728b412aa86f,power_hp,187.6,188,ROUNDED_FOR_INTEGER_STORAGE
7859,vmm-14234da379ab772f7213ecc2cf7b166c8d6d8cb7f9769d8842ce496c32fdb662,power_hp,243.3,243,ROUNDED_FOR_INTEGER_STORAGE
7865,vmm-91cdcdc7fceec89a9dce7044ea779e1f5d5cae7f2ca910adf3f1823281310b13,power_hp,233.2,233,ROUNDED_FOR_INTEGER_STORAGE
7877,vmm-ecfb5c2720ecb3f1fcc1f80ed9e22f3de3f9869be29c94c875d8d95416042277,power_hp,430.9,431,ROUNDED_FOR_INTEGER_STORAGE
7878,vmm-257667c48f6f68da81902c48271c76d7aa6576d186b0f568638a2fdacc451770,power_hp,430.9,431,ROUNDED_FOR_INTEGER_STORAGE
7879,vmm-0035bb159bf8912bce63050d24039a6cd4e9cb0980a3ca572b8cf1c2a282099a,power_hp,380.2,380,ROUNDED_FOR_INTEGER_STORAGE
7880,vmm-8a729266a86353dcd2c5da43612c76da5d15c32e1ce28107df1d230353b96a52,power_hp,430.9,431,ROUNDED_FOR_INTEGER_STORAGE
7881,vmm-8eb543036a5b99f674dec3cb716809b0b528e2c877eb93ee2c6008d46e803d40,power_hp,430.9,431,ROUNDED_FOR_INTEGER_STORAGE
7882,vmm-cb6648665e446f186bc179ef26dd0c6ee659584309c6dcf7a18dc0f9d373e89f,power_hp,380.2,380,ROUNDED_FOR_INTEGER_STORAGE
7883,vmm-96c2f3ed9f2678a143a555955479e6a8d8d98a76a096af7709cd869c9d5a97a0,power_hp,380.2,380,ROUNDED_FOR_INTEGER_STORAGE
7886,vmm-2353d0ec4b69de3e7f8e281acbf65ad12fdba097b378595e31e05b938b13ab9e,power_hp,233.2,233,ROUNDED_FOR_INTEGER_STORAGE
7887,vmm-7ce6507501f396bed2145e9e5317a04beef885773437e1344358c6dd34a785f7,power_hp,233.2,233,ROUNDED_FOR_INTEGER_STORAGE
7888,vmm-7b29f6c9cb3c5a58e0d107f13ee07e6f012769574682e27139eb3585b3cfdd88,power_hp,334.6,335,ROUNDED_FOR_INTEGER_STORAGE
7890,vmm-7053f4b425db1cc711b375a531bd11afa40b1be7fed39cf442a11cd4ff4478ff,power_hp,334.6,335,ROUNDED_FOR_INTEGER_STORAGE
7892,vmm-9aa784911dff06955d7f363cc0516a7a595f52d53b776bbe682a423d1376f2ed,power_hp,380.2,380,ROUNDED_FOR_INTEGER_STORAGE
